sample_index,sample_path,target,plaintext_logit_0,plaintext_logit_1,secure_logit_0,secure_logit_1,plaintext_prob_0,plaintext_prob_1,secure_prob_0,secure_prob_1,logit_0_abs_diff,logit_1_abs_diff,prob_0_abs_diff,prob_1_abs_diff,plaintext_argmax,secure_argmax,plaintext_threshold_pred,secure_threshold_pred
0,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00003.png,0,0.47533854842185974,-0.01690872758626938,0.47533854842185974,-0.01690872758626938,0.6206357479095459,0.37936434149742126,0.6206357479095459,0.37936434149742126,0.0,0.0,0.0,0.0,0,0,0,0
1,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00007.png,0,0.08598525077104568,0.42837801575660706,0.08598525077104568,0.42837801575660706,0.41522839665412903,0.5847716927528381,0.41522839665412903,0.5847716927528381,0.0,0.0,0.0,0.0,1,1,0,0
2,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00011.png,0,0.5553398132324219,-0.10030759125947952,0.5553398132324219,-0.10030759125947952,0.6582819223403931,0.34171804785728455,0.6582819223403931,0.34171804785728455,0.0,0.0,0.0,0.0,0,0,0,0
3,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00014.png,0,0.41444632411003113,0.056477874517440796,0.41444632411003113,0.056477874517440796,0.5885485410690308,0.41145142912864685,0.5885485410690308,0.41145142912864685,0.0,0.0,0.0,0.0,0,0,0,0
4,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00022.png,0,0.5616682171821594,-0.10616428405046463,0.5616682171821594,-0.10616428405046463,0.661017656326294,0.33898237347602844,0.661017656326294,0.33898237347602844,0.0,0.0,0.0,0.0,0,0,0,0
5,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00028.png,0,0.5079140663146973,-0.05001354590058327,0.5079140663146973,-0.05001354590058327,0.6359728574752808,0.36402708292007446,0.6359728574752808,0.36402708292007446,0.0,0.0,0.0,0.0,0,0,0,0
6,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00030.png,0,0.4790758192539215,-0.0252961628139019,0.4790758192539215,-0.0252961628139019,0.6234862208366394,0.3765137791633606,0.6234862208366394,0.3765137791633606,0.0,0.0,0.0,0.0,0,0,0,0
7,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00031.png,0,0.2084624022245407,0.30312052369117737,0.2084624022245407,0.30312052369117737,0.47635307908058167,0.5236468315124512,0.47635307908058167,0.5236468315124512,0.0,0.0,0.0,0.0,1,1,0,0
8,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00033.png,0,0.5273266434669495,-0.0728386640548706,0.5273266434669495,-0.0728386640548706,0.6456941366195679,0.35430586338043213,0.6456941366195679,0.35430586338043213,0.0,0.0,0.0,0.0,0,0,0,0
9,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00035.png,0,0.46719303727149963,-0.005629403982311487,0.46719303727149963,-0.005629403982311487,0.6160515546798706,0.383948415517807,0.6160515546798706,0.383948415517807,0.0,0.0,0.0,0.0,0,0,0,0
10,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00037.png,0,0.5056890845298767,-0.05314405634999275,0.5056890845298767,-0.05314405634999275,0.6361824870109558,0.3638174831867218,0.6361824870109558,0.3638174831867218,0.0,0.0,0.0,0.0,0,0,0,0
11,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00038.png,0,0.548191487789154,-0.09309370070695877,0.548191487789154,-0.09309370070695877,0.6550439596176147,0.34495609998703003,0.6550439596176147,0.34495609998703003,0.0,0.0,0.0,0.0,0,0,0,0
12,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00040.png,0,0.4593643248081207,-0.0010132617317140102,0.4593643248081207,-0.0010132617317140102,0.6131037473678589,0.3868962526321411,0.6131037473678589,0.3868962526321411,0.0,0.0,0.0,0.0,0,0,0,0
13,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00045.png,0,0.4590567946434021,0.0010089414427056909,0.4590567946434021,0.0010089414427056909,0.6125509738922119,0.3874490261077881,0.6125509738922119,0.3874490261077881,0.0,0.0,0.0,0.0,0,0,0,0
14,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00046.png,0,0.5745590925216675,-0.11608593165874481,0.5745590925216675,-0.11608593165874481,0.6661103963851929,0.33388960361480713,0.6661103963851929,0.33388960361480713,0.0,0.0,0.0,0.0,0,0,0,0
15,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00049.png,0,0.25958287715911865,0.2433771938085556,0.25958287715911865,0.2433771938085556,0.5040513277053833,0.4959486722946167,0.5040513277053833,0.4959486722946167,0.0,0.0,0.0,0.0,0,0,0,0
