index,sample_id,target,logit_0,logit_1,prob_1,argmax_prediction,threshold_prediction,calibrated_argmax_prediction
0,sample_000000,0,0.72705078125,-0.3672943115234375,0.2508009374141693,0,0,0
1,sample_000001,0,0.644561767578125,-0.29052734375,0.28189337253570557,0,0,0
2,sample_000002,0,0.5630645751953125,-0.2216949462890625,0.31329500675201416,0,0,0
3,sample_000003,0,0.5586090087890625,-0.2187042236328125,0.3148992359638214,0,0,0
4,sample_000004,0,0.548675537109375,-0.2115478515625,0.3185977637767792,0,0,0
5,sample_000005,0,0.7414398193359375,-0.391998291015625,0.24352715909481049,0,0,0
6,sample_000006,0,0.5194549560546875,-0.1828460693359375,0.331302285194397,0,0,0
7,sample_000007,0,0.7378082275390625,-0.373565673828125,0.24761484563350677,0,0,0
8,sample_000008,0,0.6060943603515625,-0.262786865234375,0.2954871654510498,0,0,0
9,sample_000009,0,0.492034912109375,-0.160003662109375,0.3425302803516388,0,0,0
10,sample_000010,0,0.7578887939453125,-0.39111328125,0.24067139625549316,0,0,0
11,sample_000011,0,0.62042236328125,-0.2777557373046875,0.2894250452518463,0,0,0
12,sample_000012,0,0.425262451171875,-0.0843505859375,0.37528422474861145,0,0,0
13,sample_000013,0,0.445068359375,-0.106597900390625,0.36547788977622986,0,0,0
14,sample_000014,0,0.336883544921875,-0.0274505615234375,0.40991079807281494,0,0,0
15,sample_000015,0,0.7184600830078125,-0.3593597412109375,0.2539188265800476,0,0,0
16,sample_000016,1,-0.4061126708984375,0.59222412109375,0.7307314276695251,1,1,1
17,sample_000017,1,-0.515777587890625,0.6993865966796875,0.7712113857269287,1,1,1
18,sample_000018,1,-0.0062255859375,0.2488555908203125,0.5634267330169678,1,1,1
19,sample_000019,1,0.055389404296875,0.2145233154296875,0.5396997332572937,1,1,1
20,sample_000020,1,0.2206573486328125,0.0812835693359375,0.4652128517627716,0,1,1
21,sample_000021,1,-0.44744873046875,0.6368560791015625,0.7473077774047852,1,1,1
22,sample_000022,1,-0.4153900146484375,0.6138916015625,0.73677659034729,1,1,1
23,sample_000023,1,-0.37872314453125,0.5679931640625,0.7204542756080627,1,1,1
24,sample_000024,1,-0.4478302001953125,0.63787841796875,0.7475727200508118,1,1,1
25,sample_000025,1,0.579498291015625,-0.238189697265625,0.30625468492507935,0,0,0
26,sample_000026,1,-0.2320404052734375,0.4446868896484375,0.663007915019989,1,1,1
27,sample_000027,1,0.32855224609375,-0.0125274658203125,0.4155472218990326,0,1,1
28,sample_000028,1,-0.1949920654296875,0.410125732421875,0.6468262672424316,1,1,1
29,sample_000029,1,-0.251739501953125,0.4610443115234375,0.6710159778594971,1,1,1
30,sample_000030,1,-0.426239013671875,0.6121826171875,0.7385453581809998,1,1,1
31,sample_000031,1,0.1847381591796875,0.1070404052734375,0.4805853068828583,0,1,1
